wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((94000.0000000037252903 443699.9999999962747097, 94100.0000000037252903 443699.9999999962747097, 94100.0000000037252903 443600, 94000.0000000037252903 443600, 94000.0000000037252903 443699.9999999962747097))",353284,353284,E0940N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((94300 443699.9999999962747097, 94400.0000000037252903 443699.9999999962747097, 94400.0000000037252903 443600, 94300 443600, 94300 443699.9999999962747097))",353285,353285,E0943N4436,5,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,1
"Polygon ((95700 443699.9999999962747097, 95800.0000000037252903 443699.9999999962747097, 95800.0000000037252903 443600, 95700 443600, 95700 443699.9999999962747097))",353286,353286,E0957N4436,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((96000 443699.9999999962747097, 96100 443699.9999999962747097, 96100 443600, 96000 443600, 96000 443699.9999999962747097))",353287,353287,E0960N4436,5,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,4
"Polygon ((97500 443699.9999999962747097, 97600 443699.9999999962747097, 97600 443600, 97500 443600, 97500 443699.9999999962747097))",353288,353288,E0975N4436,15,5,5,5,5,0,90% of meer,geen w. allochtoon,geen nw. allochtoon,5,427,15,0
"Polygon ((97700.0000000037252903 443699.9999999962747097, 97800 443699.9999999962747097, 97800 443600, 97700.0000000037252903 443600, 97700.0000000037252903 443699.9999999962747097))",353289,353289,E0977N4436,5,0,0,0,0,5,geheim,geheim,geheim,5,-99997,0,5
"Polygon ((99600 443699.9999999962747097, 99700 443699.9999999962747097, 99700 443600, 99600 443600, 99600 443699.9999999962747097))",353290,353290,E0996N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,0
"Polygon ((99800.0000000037252903 443699.9999999962747097, 99900.0000000037252903 443699.9999999962747097, 99900.0000000037252903 443600, 99800.0000000037252903 443600, 99800.0000000037252903 443699.9999999962747097))",353291,353291,E0998N4436,15,0,0,5,10,0,40% tot 60%,8% tot 15%,25% tot 45%,0,-99999,15,1
"Polygon ((99900.0000000037252903 443699.9999999962747097, 100000 443699.9999999962747097, 100000 443600, 99900.0000000037252903 443600, 99900.0000000037252903 443699.9999999962747097))",353292,353292,E0999N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((100200.0000000037252903 443699.9999999962747097, 100300.0000000037252903 443699.9999999962747097, 100300.0000000037252903 443600, 100200.0000000037252903 443600, 100200.0000000037252903 443699.9999999962747097))",353293,353293,E1002N4436,85,25,0,55,5,0,40% tot 60%,minder dan 8%,25% tot 45%,25,-99999,60,0
"Polygon ((86000.0000000037252903 443600, 86100.0000000037252903 443600, 86100.0000000037252903 443500, 86000.0000000037252903 443500, 86000.0000000037252903 443600))",353671,353671,E0860N4435,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,5
"Polygon ((86600 443600, 86700 443600, 86700 443500, 86600 443500, 86600 443600))",353672,353672,E0866N4435,5,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,4
"Polygon ((89100 443600, 89200 443600, 89200 443500, 89100 443500, 89100 443600))",353673,353673,E0891N4435,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((89400.0000000037252903 443600, 89500 443600, 89500 443500, 89400.0000000037252903 443500, 89400.0000000037252903 443600))",353674,353674,E0894N4435,10,5,0,5,0,0,geheim,geheim,geheim,5,528,5,7
