wkt_geom,id,name,desc,ModeType,Rh1_Wd/h,Rd2_Wd/h,NRh_Wd/h,Rh1_We/h,Rh2_We/h,NRh_We/h
Point (94182.00121691095409915 451056.02544112724717706),1472,Rokkeveenseweg Zuid,Buslijn 170 Zone 5441,Bus,8,8,6,8,8,6
Point (96952.01941756636369973 441790.03055805334588513),1473,Romeynshof,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (96952.01941756636369973 441790.03055805334588513),1474,Romeynshof,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (94050.03759184973023366 433195.02520198246929795),1475,Rondewei,Buslijn 76 Zone 5314,Bus,7,7,6,6,6,4
Point (93998.03742623978178017 433275.02518420299747959),1476,Rondewei,Buslijn 76 Zone 5314,Bus,7,7,6,6,6,4
Point (88552.03768889787897933 434392.0135898066801019),1477,Rondoplein,Buslijn 68 Zone 5316,Bus,5,5,3,4,4,2
Point (74924.03034569970623124 439721.98010099673410878),1478,Rontgendreef,"Buslijn 126, Buslijn 226 Zone 5349",Bus,9,7,5,7,7,3
Point (94642.0321357601787895 435752.02605459856567904),1479,Rose-Spoorstraat,Buslijn 48 Zone 5314,Bus,9,6,4,8,7,4
Point (94668.03222492456552573 435703.02650414669187739),1480,Rose-Spoorstraat,Buslijn 48 Zone 5314,Bus,9,6,4,8,7,4
Point (94634.03238418549881317 435632.02684162824880332),1481,Rose-Spoorstraat,Buslijn 66 Zone 5314,Bus,6,5,4,4,2,1
Point (98352.02849907850031741 436836.03380292491056025),1482,Rossinistraat,Buslijn 37 Zone 5311,Bus,4,1,1,2,1,1
Point (98337.02849440195132047 436847.03323858347721398),1483,Rossinistraat,Buslijn 37 Zone 5311,Bus,4,1,1,2,1,1
Point (89482.02426098982687108 440410.01514790288638324),1484,Rotterdam Airport,Buslijn 33 Zone 5315,Bus,8,5,4,8,7,2
Point (89473.02421939736814238 440426.01576797559391707),1485,Rotterdam Airport,Buslijn 50 Zone 5315,Bus,8,6,4,7,6,3
Point (91730.02940702222986147 437628.01998964376980439),1486,Rotterdam Centraal,"BOB-buslijn 7, BOB-buslijn 16, BOB-buslijn 1, BOB-buslijn 8, BOB-buslijn 2, BOB-buslijn 9, BOB-buslijn 5, BOB-buslijn 3, BOB-buslijn 11, BOB-buslijn 4, BOB-buslijn 10, BOB-buslijn 19, BOB-buslijn 17 Zone 5300",Bus,58,51,37,50,40,20
Point (91730.02940702222986147 437628.01998964376980439),1487,Rotterdam Centraal,"Buslijn 33, Buslijn 44, Buslijn 40, Buslijn 48, Buslijn 38, Buslijn 39 Zone 5300",Bus,31,20,16,27,22,12
Point (92024.02942861887277104 437600.0214311212184839),1488,Rotterdam Centraal,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (92065.02933730764198117 437608.02046890999190509),1489,Rotterdam Centraal,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (91908.02929150609998032 437673.02040880924323574),1490,Rotterdam Centraal,Metrolijn D Zone 5300 Dit metrostation is toegankelijk met een rolstoel.,Metro,6,6,4,6,6,4
Point (91908.02929150609998032 437673.02040880924323574),1491,Rotterdam Centraal,"Metrolijn D, Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.",Metro,10,10,6,10,10,6
Point (91908.02929150609998032 437673.02040880924323574),1492,Rotterdam Centraal,Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.,Metro,4,4,2,4,4,2
Point (92024.02942861887277104 437600.0214311212184839),1493,Rotterdam Centraal,"Tramlijn 20, Tramlijn 23, Tramlijn 25, Tramlijn 21, Tramlijn 24, Tramlijn 4, Tramlijn 7, Tramlijn 8 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,23,22,16,20,20,12
Point (92065.02933730764198117 437608.02046890999190509),1494,Rotterdam Centraal,"Tramlijn 23, Tramlijn 25, Tramlijn 24, Tramlijn 21, Tramlijn 4, Tramlijn 7, Tramlijn 8 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,21,20,14,18,18,10
Point (91867.02872264628240373 437952.02072646503802389),1495,Rotterdam Centraal Blijdorpzijde,Buslijn 39 Zone 5300,Bus,5,3,2,4,2,1
Point (91841.02883024292532355 437918.02073609578656033),1496,Rotterdam Centraal Blijdorpzijde,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (91831.02887539695075247 437891.02105209400178865),1497,Rotterdam Centraal Blijdorpzijde,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (91959.0293776415346656 437617.02122763259103522),1498,Rotterdam Centraal perron A,"Tramlijn 23, Tramlijn 20 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,6,6,5,6,6,5
